,SCHOOL_NAME,ALL STUDENTS,ASIAN,BLACK,BHNA,ECONOMICALLY DISADVANTAGED,ELA,FEMALE,HISPANIC,MALE,NATIVE,PACIFIC ISLANDER,WHITE,TEACH_INEXP,TEACH_EXP,TEACH_EMERG,TEACH_NOT_EMERG,TEACH_OUT_OF_FIELD,TEACH_IN_FIELD,Total School Level Per Pupil Expenditures
0,Anderson County High School,5,0,6.7,3.3,10.9,0,3.4,0,6.5,0,0,5,13.20754716981132,86.79245283018868,0.0,100.0,0.0,100.0,5546.155493482309
1,Andersonville Elementary,0,0,0,0,0,0,0,0,0,0,0,0,27.27272727272727,72.72727272727273,0.0,100.0,0.0,100.0,6696.478547854786
2,Briceville Elementary,3.8,0,0,0,5.1,0,0,0,7.8,0,0,3.8,20.0,80.0,0.0,100.0,0.0,100.0,9289.358974358975
3,Claxton Elementary,1.1,0,0,1.8,1.7,0,0,0,2.1,0,0,1.1,28.57142857142857,71.42857142857143,0.0,100.0,0.0,100.0,7419.320454545455
4,Clinton Middle School,13.6,0,23.3,14.5,21.5,0,6.6,0,20.8,0,0,13.3,21.951219512195124,78.04878048780488,0.0,100.0,0.0,100.0,5940.561746987952
5,Clinton High School,9.8,7.1,20.8,16,13.8,0,5.6,10,13.3,9.1,0,9.5,13.846153846153847,86.15384615384616,0.0,100.0,0.0,100.0,5898.546916890081
6,Dutch Valley Elementary,2.4,0,0,0,1.6,0,2,0,2.7,0,0,2.5,25.0,75.0,0.0,100.0,0.0,100.0,10569.851485148514
7,Fairview Elementary,0.9,0,0,0,1.6,0,0.6,0,1.1,0,0,0.9,0.0,100.0,0.0,100.0,0.0,100.0,7401.6529209621995
8,Grand Oaks Elementary,1.3,0,6.2,4.8,3.2,0,0.6,0,2.2,0,0,1.3,30.0,70.0,0.0,100.0,0.0,100.0,8205.263565891473
9,Lake City Elementary,0,0,0,0,0,0,0,0,0,0,0,0,9.67741935483871,90.32258064516128,0.0,100.0,0.0,100.0,7792.82057416268
10,Lake City Middle School,16.5,0,0,15.4,20,0,8.4,0,24.1,0,0,16.5,9.090909090909092,90.9090909090909,0.0,100.0,0.0,100.0,7560.3493150684935
11,Norris Elementary,0.4,0,0,0,0,0,0,0,0.8,0,0,0.4,12.5,87.5,0.0,100.0,0.0,100.0,7457.727272727273
12,Norris Middle School,12.8,0,0,8.3,24.6,0,3.9,6.7,21.3,0,0,12.5,16.666666666666664,83.33333333333334,3.3333333333333335,96.66666666666667,0.0,100.0,5864.8292181069955
13,Norwood Elementary,2.1,0,0,0,2.2,0,0.7,0,3.4,0,0,2.2,22.22222222222222,77.77777777777779,0.0,100.0,0.0,100.0,8220.417391304349
14,Norwood Middle School,13.8,0,0,33.3,16.7,0,8.3,0,19,0,0,13,60.0,40.0,0.0,100.0,6.666666666666667,93.33333333333333,8866.109289617487
15,Clinton Elementary,0,0,0,0,0,0,0,0,0,0,0,0,9.090909090909092,90.9090909090909,0.0,100.0,0.0,100.0,6263.994241842611
16,North Clinton Elementary,0,0,0,0,0,0,0,0,0,0,0,0,21.428571428571427,78.57142857142857,0.0,100.0,0.0,100.0,11367.3125
17,South Clinton Elementary,0.4,0,0,0,0,0,0,0,0.7,0,0,0.4,14.285714285714285,85.71428571428571,0.0,100.0,0.0,100.0,7052.976190476191
18,Glenwood Elementary,0,0,0,0,0,0,0,0,0,0,0,0,10.0,90.0,0.0,100.0,0.0,100.0,9327.18826405868
19,Jefferson Middle School,14.3,0,28.9,21.8,22.7,7.1,6.9,10,21.7,0,0,13.6,8.16326530612245,91.83673469387756,0.0,100.0,0.0,100.0,8674.258692628651
20,Linden Elementary,0,0,0,0,0,0,0,0,0,0,0,0,9.67741935483871,90.32258064516128,0.0,100.0,0.0,100.0,8832.146511627907
21,Oak Ridge High School,17.8,7.2,29.6,26.7,28.6,33.3,12,21.4,23.2,20,20,16.4,6.25,93.75,0.0,100.0,0.0,100.0,8898.182918149467
22,Robertsville Middle School,16.7,11.1,25.3,23.9,24.1,31.6,13.1,19.4,20.2,18.2,0,15.1,9.25925925925926,90.74074074074075,0.0,100.0,0.0,100.0,8962.354666666666
23,Willow Brook Elementary,0,0,0,0,0,0,0,0,0,0,0,0,3.3333333333333335,96.66666666666667,0.0,100.0,0.0,100.0,12416.124653739613
24,Woodland Elementary,0.6,0,1.4,0.9,1.8,0,0,0,1.2,0,0,0.5,11.76470588235294,88.23529411764706,0.0,100.0,0.0,100.0,9309.228028503563
25,Cascade Elementary,0.5,0,2.7,1.2,2.2,0,0,0,1,0,0,0.3,2.564102564102564,97.43589743589743,0.0,100.0,0.0,100.0,6560.820738137083
26,Cascade High School,2.6,0,3.6,2.7,1,0,2.1,2.3,3,0,0,2.5,12.5,87.5,0.0,100.0,0.0,100.0,6970.419958419959
27,Eakin Elementary,5.1,0,9.7,5.6,5.9,2.9,1.2,4.2,8.4,0,0,3.8,25.53191489361702,74.46808510638297,0.0,100.0,0.0,100.0,6433.287581699346
28,Cascade Middle School,4.3,0,8.7,8.1,6.5,0,2.1,7.9,6.8,0,0,4.2,10.526315789473683,89.47368421052632,0.0,100.0,0.0,100.0,4785.343065693431
29,Shelbyville Central High School,10,4.3,12.8,9.7,12.4,14.7,5.6,7.9,14.1,4.2,0,9.8,24.675324675324674,75.32467532467533,1.2987012987012987,98.7012987012987,0.0,100.0,5281.515272244356
30,Harris Middle School,16,15.4,29.1,15.6,19.3,13.4,11,8.8,20.5,3.4,0,13.5,30.909090909090907,69.0909090909091,0.0,100.0,0.0,100.0,5190.934034416826
31,Community Elementary School,0.6,0,2.3,0.9,1.3,0,0,0,1.1,0,0,0.6,11.627906976744185,88.37209302325581,0.0,100.0,0.0,100.0,6803.730650154799
32,Community High School,17.9,0,21.4,18.9,27.5,0,11.8,18.8,23.5,20,0,18.1,6.666666666666667,93.33333333333333,0.0,100.0,0.0,100.0,6143.294007490636
33,Community Middle School,1.7,0,4.8,1.1,4.1,0,0,0,3.5,0,0,1.6,0.0,100.0,0.0,100.0,0.0,100.0,5397.703016241299
34,Learning Way Elementary,4.4,0,6.7,4.4,4.7,1.4,0.7,3.1,7.6,0,0,4,26.82926829268293,73.17073170731707,0.0,100.0,0.0,100.0,6779.820754716981
35,East Side Elementary,0.4,0,0,0,0.3,0,0,0,0.8,0,0,0.5,11.76470588235294,88.23529411764706,0.0,100.0,0.0,100.0,7159.585081585082
36,Liberty Elementary,0.2,0,0,0,0.3,0,0,0,0.5,0,0,0.2,17.02127659574468,82.97872340425532,0.0,100.0,0.0,100.0,5941.196787148594
